timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1628348400000,3085.95,3113.08,3068.08,3084.11,147860.488,1628351999999,457263441.66,189698,70669.195,218597259.0115
1628352000000,3084.23,3101.37,3000.0,3093.0,551040.998,1628355599999,1681046170.18,509171,273761.109,835501049.53267
1628355600000,3092.99,3096.01,3032.0,3052.15,195349.38,1628359199999,598273949.52,226891,93349.072,285854480.50763
1628359200000,3052.01,3078.89,3033.0,3059.37,110763.034,1628362799999,338516345.52,147032,57358.437,175333494.89703
1628362800000,3059.37,3087.24,3036.61,3078.86,83822.035,1628366399999,256564540.73,120283,43601.884,133493764.70093
1628366400000,3078.86,3099.55,3058.64,3081.59,105530.015,1628369999999,325032222.37,137598,52500.376,161743978.24525
1628370000000,3081.59,3132.56,3063.81,3072.29,180942.475,1628373599999,562395356.56,240375,86868.074,270086732.36404
1628373600000,3072.3,3114.0,3063.06,3088.04,123894.112,1628377199999,383156047.38,166249,58614.665,181306837.45028
1628377200000,3088.04,3175.17,3088.03,3163.26,198800.139,1628380799999,624076560.45,226821,101690.452,319187997.14199
1628380800000,3163.26,3195.67,3133.18,3162.0,297646.191,1628384399999,941356150.24,314432,147356.477,466288885.37338
1628384400000,3161.99,3165.34,3093.75,3109.99,179455.642,1628387999999,560497673.2,214297,80751.033,252197459.35414
1628388000000,3109.99,3110.0,3071.79,3090.26,128583.773,1628391599999,397905672.32,164457,62036.056,192016464.51202
1628391600000,3090.25,3130.99,3085.83,3120.66,102743.428,1628395199999,319922012.79,144649,51570.927,160588213.06106
1628395200000,3120.66,3138.68,3095.0,3111.43,102240.598,1628398799999,318568220.97,139477,48622.194,151526677.46172
1628398800000,3111.43,3139.87,3093.52,3130.88,115878.453,1628402399999,361613947.91,148249,58619.438,182963338.78615
1628402400000,3130.89,3187.82,3130.6,3168.16,251272.438,1628405999999,794258276.27,271340,129559.709,409509955.38019
1628406000000,3168.17,3188.72,3131.34,3138.07,180436.503,1628409599999,570457422.71,213548,80230.558,253751497.48316
1628409600000,3137.85,3156.0,3121.02,3125.78,117256.58,1628413199999,368139632.37,154855,55268.03,173556416.83744
1628413200000,3125.78,3157.53,3122.21,3140.8,98369.628,1628416799999,309159491.76,131068,51233.545,161034422.48281
1628416800000,3140.81,3153.0,3083.0,3103.74,199559.291,1628420399999,620885071.19,233989,92040.935,286409928.84871
1628420400000,3103.75,3119.87,3084.53,3102.42,131888.163,1628423999999,409675653.67,171992,64207.005,199464356.47162
1628424000000,3102.42,3146.66,3095.05,3138.82,146476.353,1628427599999,458263854.72,191120,76723.07,240035644.99428
1628427600000,3138.83,3152.05,3104.99,3117.51,126184.27,1628431199999,394549822.41,167136,59370.437,185664556.01589
1628431200000,3117.5,3125.0,3026.18,3031.75,341073.077,1628434799999,1046395904.33,362272,154218.949,473161854.77355
1628434800000,3031.35,3056.08,3017.66,3034.34,219206.326,1628438399999,666760818.07,240249,113083.16,344102448.2533
1628438400000,3034.34,3073.87,3006.0,3012.94,251249.932,1628441999999,762648656.51,284784,125609.927,381413522.1891
1628442000000,3012.94,3021.22,2972.2,2991.7,245654.494,1628445599999,736107259.41,279561,115856.341,347274138.83107
1628445600000,2991.7,3011.65,2965.58,2978.9,143983.404,1628449199999,430677230.41,178224,67932.282,203280996.11909
1628449200000,2978.89,3005.0,2950.45,2988.36,203128.224,1628452799999,604129892.14,232697,101251.721,301247673.1952
1628452800000,2988.52,3030.0,2965.92,2992.52,203167.269,1628456399999,608721428.65,219907,103159.966,309122980.42682
1628456400000,2992.51,3038.88,2983.71,3036.5,128887.502,1628459999999,388375800.29,156172,67843.93,204462568.06772
1628460000000,3036.5,3066.0,3031.78,3045.47,149741.522,1628463599999,456622444.39,175071,75892.229,231451603.85107
1628463600000,3045.47,3065.81,3003.39,3014.06,143390.939,1628467199999,434816054.35,161788,69200.46,209879316.19136
1628467200000,3014.06,3037.48,2930.0,2938.26,292831.204,1628470799999,869579955.34,315318,136832.501,406494937.24142
1628470800000,2938.27,2945.0,2903.17,2919.75,229182.628,1628474399999,670164777.04,246132,113049.451,330649580.7853
1628474400000,2919.75,2949.43,2915.34,2946.93,94559.274,1628477999999,277618168.85,125069,50240.347,147519532.91286
1628478000000,2946.94,2965.97,2928.07,2949.89,87698.704,1628481599999,258445644.2,123059,44195.71,130275948.22081
1628481600000,2949.91,2964.07,2928.02,2957.82,106489.353,1628485199999,313907370.92,133449,54187.271,159760257.62213
1628485200000,2957.76,2966.95,2920.05,2936.22,116125.756,1628488799999,342064384.18,137495,53909.0,158837942.75378
1628488800000,2936.21,2943.12,2890.03,2924.35,221226.322,1628492399999,645186752.86,229671,104567.048,305064192.86398
1628492400000,2924.35,2956.57,2912.0,2946.1,160116.626,1628495999999,470171937.63,171952,83312.068,244720579.06538
1628496000000,2946.1,2976.0,2933.92,2959.0,129783.117,1628499599999,383193870.28,153566,67434.809,199145900.45722
1628499600000,2959.06,3050.0,2951.22,3040.55,371916.063,1628503199999,1120680565.55,367597,196794.16,592855235.45599
1628503200000,3040.54,3109.99,3040.54,3102.18,335026.541,1628506799999,1030756057.1,356548,172393.763,530518988.17954
1628506800000,3102.18,3143.15,3088.02,3133.81,334242.341,1628510399999,1043390163.05,335199,159622.351,498379862.39435
1628510400000,3133.83,3140.65,3100.12,3133.69,196790.217,1628513999999,613871050.67,207625,95168.779,296964492.44541
1628514000000,3133.75,3155.92,3080.0,3096.7,266167.785,1628517599999,831418055.48,274809,124494.222,389173959.01965
1628517600000,3096.7,3159.07,3096.13,3113.91,307297.873,1628521199999,961977829.99,305273,155320.633,486268504.54201
1628521200000,3113.91,3177.75,3113.91,3168.51,245475.666,1628524799999,773985077.72,259719,125822.652,396783025.90969
1628524800000,3168.5,3178.0,3130.0,3158.89,207080.07,1628528399999,653168542.38,231231,95621.307,301702727.1317
1628528400000,3158.89,3173.34,3138.84,3141.29,111316.488,1628531999999,350815051.25,132985,55346.343,174473229.53317
1628532000000,3141.29,3190.8,3141.05,3164.85,155902.636,1628535599999,494033264.01,176994,78254.209,247989649.22413
1628535600000,3164.86,3180.0,3135.0,3149.13,115604.835,1628539199999,365398013.43,142571,50729.29,160373620.75578
1628539200000,3149.14,3167.18,3068.9,3073.25,301929.719,1628542799999,940331401.65,307448,139989.158,436153860.66392
1628542800000,3073.27,3116.88,3037.02,3101.46,290263.127,1628546399999,892733492.38,294852,136927.482,421202742.77877
1628546400000,3101.43,3156.79,3091.08,3151.09,154454.821,1628549999999,482376755.9,173440,73877.625,230776928.94194
1628550000000,3151.09,3185.0,3141.48,3163.43,165543.689,1628553599999,523489830.99,186510,76998.419,243541034.83374
1628553600000,3163.43,3213.51,3094.4,3125.43,352176.019,1628557199999,1110066374.55,357513,171428.294,540658436.82752
1628557200000,3125.42,3144.44,3097.1,3134.25,116003.577,1628560799999,362132088.06,156785,58378.011,182286795.92684
1628560800000,3134.61,3147.35,3118.0,3144.55,65228.098,1628564399999,204333938.44,106027,29830.606,93473812.56546
1628564400000,3144.6,3150.0,3108.0,3117.56,86483.168,1628567999999,270112217.5,117523,40335.525,125987424.16723
1628568000000,3117.68,3130.58,3099.0,3100.59,89588.777,1628571599999,278913689.49,129767,41448.767,129075827.40252
1628571600000,3100.59,3139.98,3090.0,3114.0,108053.568,1628575199999,337018697.09,148365,54035.528,168578092.74921
1628575200000,3114.2,3130.0,3102.85,3124.11,86970.194,1628578799999,270858735.88,122560,41915.878,130546442.23986
1628578800000,3124.1,3150.0,3103.0,3144.57,129246.656,1628582399999,404153472.39,159143,63418.955,198406750.34929
1628582400000,3144.57,3167.75,3131.0,3165.74,140820.532,1628585999999,443424986.8,166260,69419.189,218645062.68791
1628586000000,3165.75,3175.0,3136.0,3146.82,134547.331,1628589599999,424524000.9,166507,62736.381,197971545.33133
1628589600000,3146.83,3153.87,3112.03,3118.84,129692.104,1628593199999,405590327.32,166369,58243.438,182159055.4934
1628593200000,3118.84,3155.0,3113.05,3124.71,140584.072,1628596799999,440685792.7,173327,70304.177,220393389.83507
1628596800000,3124.71,3187.54,3116.14,3183.72,199715.958,1628600399999,630004453.73,223499,106492.592,336041763.27793
1628600400000,3183.72,3239.13,3139.0,3165.0,536633.443,1628603999999,1710422431.49,513377,267177.474,851743843.15894
1628604000000,3165.0,3169.94,3116.05,3133.41,250766.395,1628607599999,788603718.23,253012,116518.554,366459644.41868
1628607600000,3133.41,3149.0,3088.82,3123.24,259720.475,1628611199999,810862426.97,264113,123353.846,385296812.34173
1628611200000,3123.24,3133.81,3053.24,3075.94,328157.425,1628614799999,1012690552.9,328010,151445.081,467440215.91364
1628614800000,3075.95,3106.88,3075.35,3103.62,134376.867,1628618399999,415564469.54,159139,66204.471,204762442.13394
1628618400000,3103.6,3136.62,3097.5,3131.8,130643.434,1628621999999,407057176.49,164870,68742.154,214244217.29755
1628622000000,3131.64,3148.88,3122.0,3145.97,100075.251,1628625599999,313909302.38,135851,49639.113,155737856.53733
1628625600000,3145.97,3170.0,3138.2,3160.54,124665.754,1628629199999,393103817.92,156315,62379.073,196742936.19771
1628629200000,3160.53,3200.0,3138.2,3171.51,166103.418,1628632799999,527384373.69,213353,83479.277,265107754.74009
1628632800000,3171.51,3191.61,3147.77,3153.18,107139.636,1628636399999,339560501.13,149736,48563.732,153941141.84695
1628636400000,3153.17,3167.0,3123.83,3143.98,93933.532,1628639999999,295421595.07,134193,46314.116,145694706.45474
1628640000000,3143.97,3174.96,3137.61,3170.61,113922.92,1628643599999,359835374.89,155489,58955.459,186250470.20666
1628643600000,3170.61,3191.0,3160.14,3173.61,99109.197,1628647199999,314749405.49,130708,49162.857,156156687.79112
1628647200000,3173.61,3185.04,3120.69,3140.1,133064.004,1628650799999,419153403.56,164619,62273.165,196133024.19884
1628650800000,3140.11,3163.6,3132.0,3161.5,69298.374,1628654399999,218242385.44,104196,35094.645,110547731.62904
1628654400000,3161.49,3179.0,3147.8,3168.92,90239.694,1628657999999,285752192.12,124138,44779.289,141832663.63874
1628658000000,3168.92,3187.05,3155.41,3180.57,94963.581,1628661599999,301542026.94,124403,48626.657,154421782.4183
1628661600000,3180.53,3223.08,3158.59,3199.31,341571.664,1628665199999,1090071578.4,324225,171361.135,546992858.18952
1628665200000,3199.32,3259.09,3199.0,3234.62,289428.503,1628668799999,936155802.48,306817,145533.214,470795627.56484
1628668800000,3234.68,3246.49,3206.08,3218.13,140641.929,1628672399999,453164992.85,171302,69356.336,223521486.33946
1628672400000,3218.13,3237.95,3209.0,3227.43,81087.677,1628675999999,261476325.37,123439,40526.857,130711245.52377
1628676000000,3227.42,3254.13,3211.08,3225.01,136835.991,1628679599999,441927019.76,169352,66977.469,216397363.17292
1628679600000,3225.01,3243.98,3212.0,3216.32,114101.788,1628683199999,368328104.91,143644,54661.012,176483698.22157
1628683200000,3216.31,3235.14,3207.23,3223.41,99360.404,1628686799999,320038023.56,128449,49664.141,159998805.01536
1628686800000,3223.4,3273.65,3214.06,3245.13,204412.391,1628690399999,663094673.95,219299,103994.869,337398813.10613
1628690400000,3245.13,3279.78,3230.23,3256.91,167348.831,1628693999999,544952316.71,193288,83348.306,271478290.22533
1628694000000,3256.92,3263.73,3233.25,3245.99,131579.612,1628697599999,427874641.28,159639,60211.237,195824723.08399
1628697600000,3245.99,3256.7,3220.0,3238.01,145035.422,1628701199999,469734076.53,162505,71041.782,230151867.31059
1628701200000,3238.01,3254.55,3233.0,3245.96,64515.602,1628704799999,209141406.53,100212,33261.722,107825286.07205
1628704800000,3245.64,3248.71,3222.0,3228.94,80104.825,1628708399999,258929698.1,112950,35170.315,113683155.92694
1628708400000,3228.94,3257.43,3224.1,3251.72,53463.012,1628711999999,173256312.06,89884,27159.625,88036069.74201
1628712000000,3251.71,3269.0,3235.5,3236.81,85964.672,1628715599999,279842858.63,119056,40436.498,131686813.09518
1628715600000,3236.82,3243.85,3200.0,3236.2,173702.091,1628719199999,559621499.91,201694,80094.594,258089406.9995
1628719200000,3236.19,3236.86,3150.01,3171.96,236510.876,1628722799999,752253668.09,260583,107300.98,341197419.96908
1628722800000,3171.97,3184.75,3157.82,3161.52,101791.629,1628726399999,322822453.15,136112,50389.993,159820582.5563
1628726400000,3161.52,3193.78,3146.0,3186.87,121075.356,1628729999999,384134096.04,152267,60054.466,190562733.53644
1628730000000,3186.86,3239.85,3176.0,3228.76,122046.905,1628733599999,392104365.58,148862,64383.296,206843593.10148
1628733600000,3228.76,3241.57,3220.11,3237.41,72802.666,1628737199999,235314875.33,102924,34657.121,112031365.08625
1628737200000,3237.41,3237.42,3211.68,3214.73,61068.37,1628740799999,196894288.34,96658,26819.858,86484641.00173
1628740800000,3214.72,3222.2,3172.0,3175.37,117588.342,1628744399999,375200445.27,156186,53873.748,171907907.42404
1628744400000,3174.99,3181.46,3106.61,3130.59,256123.084,1628747999999,803898438.36,289732,115092.37,361188757.41801
