timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1715616000000,2961.21,2976.91,2954.52,2976.33,19006.39,1715619599999,56397441.38,41899,12180.3407,36136346.855812
1715619600000,2976.33,2977.89,2935.2,2940.97,16202.7855,1715623199999,47768032.45,37957,7541.3862,22232800.338569
1715623200000,2940.96,2944.99,2928.66,2943.52,8713.8923,1715626799999,25596339.35,24125,3863.6917,11351463.580713
1715626800000,2943.51,2957.7,2943.31,2956.7,7961.6588,1715630399999,23504884.0,24255,4642.4545,13705161.732846
1715630400000,2956.69,2960.0,2950.6,2954.39,4558.1365,1715633999999,13465738.2,17726,2280.2748,6736483.422364
1715634000000,2954.4,2956.28,2944.74,2951.39,3624.9707,1715637599999,10699624.18,13933,1724.7753,5090501.13052
1715637600000,2951.39,2954.6,2938.0,2940.27,8305.2271,1715641199999,24462437.3,21572,3530.9014,10399206.122893
1715641200000,2940.28,2952.94,2940.27,2950.99,4011.7521,1715644799999,11827674.85,16819,2224.6198,6558271.790953
1715644800000,2950.99,2958.76,2937.51,2945.8,8841.4449,1715648399999,26067809.89,20829,4159.4732,12266282.22762
1715648400000,2945.8,2960.6,2938.16,2946.4,7608.3556,1715651999999,22436023.75,19568,4012.7806,11831749.820773
1715652000000,2946.39,2955.88,2938.51,2949.18,7903.6694,1715655599999,23300963.53,18315,3530.7254,10407334.623982
1715655600000,2949.18,2956.81,2936.66,2940.99,5395.5951,1715659199999,15896558.41,15239,2137.5561,6298289.129467
1715659200000,2940.99,2947.62,2931.01,2937.29,5061.2712,1715662799999,14876617.24,14300,2411.9731,7089639.926847
1715662800000,2937.29,2949.07,2936.0,2942.69,4078.4047,1715666399999,12002500.5,12870,2166.7414,6375651.763716
1715666400000,2942.69,2942.69,2882.29,2916.03,28100.9364,1715669999999,81668431.18,60114,12988.7864,37746578.227657
1715670000000,2916.04,2920.6,2913.06,2920.03,8258.7181,1715673599999,24092118.93,20367,4027.7065,11749268.165182
1715673600000,2920.02,2920.03,2905.84,2914.06,7522.1618,1715677199999,21920753.58,19382,3237.8921,9435571.15647
1715677200000,2914.06,2918.58,2906.49,2912.59,4880.0059,1715680799999,14213466.03,15995,2480.5926,7224671.575103
1715680800000,2912.6,2914.67,2897.53,2903.92,7753.8079,1715684399999,22531052.82,19882,3808.8183,11067780.116716
1715684400000,2903.92,2912.61,2903.1,2907.94,3940.7395,1715687999999,11462735.52,14887,1917.3942,5576737.730712
1715688000000,2907.94,2920.0,2887.92,2894.61,27329.4071,1715691599999,79305546.49,52343,13217.0243,38353692.69874
1715691600000,2894.6,2912.43,2889.57,2896.78,13024.9351,1715695199999,37804470.11,32762,6516.5914,18913319.146908
1715695200000,2896.79,2924.14,2870.25,2894.3,46163.6681,1715698799999,133609356.01,81315,22972.7655,66499397.29169
1715698800000,2894.29,2915.94,2887.29,2898.93,23456.1617,1715702399999,68052512.81,41169,14325.9204,41557789.116875
1715702400000,2898.94,2900.67,2884.82,2892.88,10511.5175,1715705999999,30385212.18,27409,4845.7281,14007994.395571
1715706000000,2892.88,2894.95,2862.0,2876.07,17010.097,1715709599999,48951651.94,37339,7189.8423,20689981.328293
1715709600000,2876.06,2890.42,2870.86,2887.57,6610.1904,1715713199999,19048638.26,18206,3243.8802,9349472.115486
1715713200000,2887.58,2897.85,2886.21,2893.74,6005.9144,1715716799999,17375455.29,16069,3233.9666,9356053.111973
1715716800000,2893.73,2900.71,2888.01,2892.5,6251.8842,1715720399999,18095906.08,16072,3010.1418,8713292.469905
1715720400000,2892.51,2903.0,2887.5,2896.0,4634.4347,1715723999999,13413731.57,14843,2702.3108,7821641.935474
1715724000000,2895.99,2898.6,2887.77,2889.59,5341.375,1715727599999,15451166.34,14109,2852.6585,8251775.581975
1715727600000,2889.58,2890.78,2878.65,2881.93,3990.608,1715731199999,11509239.79,14461,1986.9632,5730540.189899
1715731200000,2881.93,2894.99,2863.75,2869.59,7442.2624,1715734799999,21424905.51,21511,3451.882,9937530.887687
1715734800000,2869.59,2887.47,2868.73,2885.85,4972.0174,1715738399999,14322457.48,14878,2582.5119,7440083.630138
1715738400000,2885.86,2893.53,2884.19,2888.39,5335.9052,1715741999999,15415144.35,14431,2663.0532,7693159.201926
1715742000000,2888.39,2903.08,2888.38,2902.64,6360.4515,1715745599999,18423493.18,16866,2839.2646,8223708.224197
1715745600000,2902.65,2904.73,2897.98,2903.81,4157.357,1715749199999,12061744.72,11863,1991.7701,5778407.140187
1715749200000,2903.81,2913.22,2900.26,2906.98,10504.6567,1715752799999,30530029.16,20482,4691.6928,13636324.323462
1715752800000,2906.98,2910.6,2900.86,2906.15,4854.6573,1715756399999,14108191.87,13836,2442.9366,7099733.980291
1715756400000,2906.15,2922.0,2902.63,2916.51,11966.001,1715759999999,34863526.9,26852,6998.2689,20389916.372362
1715760000000,2916.5,2919.0,2903.32,2905.2,7202.2635,1715763599999,20955116.17,18414,3565.1561,10372106.869401
1715763600000,2905.2,2933.8,2894.29,2920.16,14420.0666,1715767199999,42000380.68,32476,7135.607,20789605.19823
1715767200000,2920.16,2923.76,2906.29,2907.28,13941.6206,1715770799999,40612272.76,32070,6653.6298,19382960.228265
1715770800000,2907.28,2908.79,2886.81,2898.74,15547.9154,1715774399999,45047620.05,29932,7003.1218,20288426.478789
1715774400000,2898.74,2958.7,2893.02,2947.35,44690.675,1715777999999,131280530.01,108251,23010.9766,67595530.110455
1715778000000,2947.34,2982.0,2935.43,2950.48,35917.8836,1715781599999,106400372.0,68697,18892.5097,55985384.869982
1715781600000,2950.49,2976.66,2945.0,2976.08,19583.5458,1715785199999,58030097.26,45080,10104.809,29938039.326149
